run_dir,best_val_relative_l2,config_hash,dataset_kind,dataset_path,dataset_sha256,deterministic,device,environment.config_hash,environment.cuda_available,environment.cuda_version,environment.cudnn_version,environment.git_commit,environment.mkl_num_threads,environment.omp_num_threads,environment.platform,environment.python,environment.torch,epsilon_mean,epsilon_mean_std,epsilon_mean_stderr,equivariance_defect_relative,equivariance_defect_relative_std,equivariance_defect_relative_stderr,eval_seconds,latency_ms_per_batch,latency_ms_per_sample,latency_repeats,latency_warmup,method,model_name,num_batches,num_samples,orbit_ood_relative_l2,orbit_ood_relative_l2_std,orbit_ood_relative_l2_stderr,parameters,parameters_total,relative_l2,relative_l2_std,relative_l2_stderr,seed,config_path,config.seed,config.dataset.kind,config.dataset.path,config.dataset.generate_if_missing,config.dataset.n,config.dataset.num_train,config.dataset.num_val,config.dataset.num_test,config.dataset.final_time,config.dataset.dt,config.dataset.viscosity,config.dataset.modes,config.dataset.amplitude,config.dataset.mean,config.dataset.solver_batch_size,config.dataset.dealias,config.dataset.seed,config.model.name,config.model.in_channels,config.model.out_channels,config.model.width,config.model.modes,config.model.depth,config.model.add_grid,config.symmetry.transforms,config.symmetry.probabilities,config.training.method,config.training.epochs,config.training.batch_size,config.training.lr,config.training.weight_decay,config.training.lambda_aug,config.training.eval_every,config.training.eval_orbit_samples,config.training.grad_clip,config.training.latency_repeats,config.training.latency_warmup,config.training.data_fraction,config.runtime.deterministic,config.runtime.device,config.runtime.run_dir,config.runtime.overwrite,data_fraction,config.training.lambda_orbit,lambda_orbit
runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_23,0.030696359230205417,41f9d00d651b,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,41f9d00d651b,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.02347632747512729,0.036344641679197,0.0008031107059736072,1.4275810999997702,17.00290999999652,0.5313409374998912,20,5,aug,fno1d,16,512,0.04473491560202092,0.04061446704199891,0.0008974614081148428,287361,287361,0.033474337542429566,0.03789018590304906,0.0016745254620290572,23,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_23,False,0.05,,
runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_31,0.03127480600960553,570696bb9ab4,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,570696bb9ab4,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.030552774110028436,0.04114635559562931,0.000909214595711954,1.4307823999997709,16.43298500000583,0.5135307812501821,20,5,aug,fno1d,16,512,0.05132003809558228,0.04418486441373515,0.000976356789148759,287361,287361,0.035718239727430046,0.039087458683869584,0.001727437943419574,31,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_31,False,0.05,,
runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_47,0.03363624820485711,a957c3c0c944,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,a957c3c0c944,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.02703434103842528,0.040410275852304146,0.0008929493776494766,1.5460986000002777,17.291805000013483,0.5403689062504213,20,5,aug,fno1d,16,512,0.04983847966650501,0.04589601052890093,0.0010141681335748447,287361,287361,0.03685790137387812,0.04338758860376638,0.001917478632565961,47,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug\seed_47,False,0.05,,
runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_23,0.029299945570528507,a4d80a58d3f3,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,a4d80a58d3f3,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.018693823699828194,0.030230521376473016,0.0006680064582534047,1.4972677000000658,16.14315000001625,0.5044734375005078,20,5,aug_orbit,fno1d,16,512,0.03904102250817232,0.03614388034537107,0.0007986744653314705,287361,287361,0.031065433868207037,0.03515486728880375,0.001553640315726642,23,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_23,False,0.05,0.5,0.5
runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_31,0.03069842280820012,7a9acfa0e5a7,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,7a9acfa0e5a7,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.024176805030955872,0.03358940704249034,0.0007422280467431279,1.525529699999879,15.325224999992315,0.47891328124975985,20,5,aug_orbit,fno1d,16,512,0.04587003091000952,0.04034764386529388,0.0008915653931890345,287361,287361,0.03473495470825583,0.038205320879006174,0.0016884525919345782,31,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_31,False,0.05,0.5,0.5
runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_47,0.030270860763266683,35120177b9cc,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,35120177b9cc,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.020094903123059504,0.03204518575478427,0.0007081052547372033,1.4614888000000974,15.639069999997446,0.4887209374999202,20,5,aug_orbit,fno1d,16,512,0.04159667089697905,0.04030207341329135,0.0008905584189505119,287361,287361,0.033463070867583156,0.0395439671180933,0.0017476129565138516,47,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.05,False,auto,runs\ablations\label_efficiency_seed_replication\0.05\aug_orbit\seed_47,False,0.05,0.5,0.5
runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_23,0.00933837442426011,5cc794d3eb5f,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,5cc794d3eb5f,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.007524898720014939,0.013060251519333795,0.0002885935129163386,1.5039891999999782,16.696959999990213,0.5217799999996942,20,5,aug,fno1d,16,512,0.013239106519904453,0.01535479606708146,0.0003392962632115572,287361,287361,0.009257968398742378,0.013950340520746144,0.0006165237738800669,23,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_23,False,0.25,,
runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_31,0.008441951300483197,8af1ed73a77e,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,8af1ed73a77e,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1537883309647441,0.09058386197137716,0.002001639470813344,0.008322145534608083,0.012387491845781062,0.00027372748393890157,1.612449799999922,15.929505000008248,0.49779703125025776,20,5,aug,fno1d,16,512,0.0131976213233429,0.013886267829576955,0.000306846067114577,287361,287361,0.008601099456427619,0.011412327282044717,0.0005043583756408788,31,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_31\config.yaml,31,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_31,False,0.25,,
runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_47,0.008236649970058352,051204fe0747,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,051204fe0747,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.1452035546535626,0.08936835717652912,0.0019747803557195374,0.007166081660727741,0.011957972090971278,0.00026423634858641467,1.7132754999993267,28.837585000019317,0.9011745312506036,20,5,aug,fno1d,16,512,0.013081835124467034,0.014625410636118833,0.0003231789699511714,287361,287361,0.009506294154562056,0.013664335498299528,0.0006038840182034786,47,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_47\config.yaml,47,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs\ablations\label_efficiency_seed_replication\0.25\aug\seed_47,False,0.25,,
runs\ablations\label_efficiency_seed_replication\0.25\aug_orbit\seed_23,0.00883260922273621,874748f44f8a,burgers1d,data\1d_burgers_n128.pt,1753fa2e5ca4fb474f93fc8cdef5732daea94b7d36d7537113b38f9e3d029758,False,cpu,874748f44f8a,False,,,,,,Windows-10-10.0.26100-SP0,3.11.6,2.12.0+cpu,0.14695673587266356,0.09069382054717753,0.002004069235019533,0.006406256612146777,0.011522144134880372,0.0002546058203619599,1.465312399999675,15.572224999959872,0.486632031248746,20,5,aug_orbit,fno1d,16,512,0.012200735225633252,0.014678799601656762,0.000324358710562809,287361,287361,0.009060179261723533,0.014253974988669737,0.0006299426483344883,23,runs\ablations\label_efficiency_seed_replication\0.25\aug_orbit\seed_23\config.yaml,23,burgers1d,data/1d_burgers_n128.pt,True,128,2048,256,512,0.5,0.001,0.01,8,0.8,0.0,64,True,23,fno1d,1,1,64,16,4,False,"[{'name': 'translation1d', 'max_shift': 0.25}, {'name': 'burgers1d_galilean', 'max_boost': 0.35, 'final_time': 0.5}]","[0.5, 0.5]",aug_orbit,150,32,0.001,0.0001,1.0,10,4,1.0,20,5,0.25,False,auto,runs\ablations\label_efficiency_seed_replication\0.25\aug_orbit\seed_23,False,0.25,0.5,0.5
